Team,G,PA,HR,R,RBI,SB,BBrate,Krate,ISO,BABIP,AVG,OBP,SLG,wOBA,wRCplus,WAR,Year,Temp,roof_status,Wind,Ocean,Direction,Deepest,turf_status,Elevation Above Sea Level (ft),Average Humidity,Average Summer Temperature (degrees F),fair_area,foul_area
LAA,1884,6280,147,787,739,93,8.1%,16.4%,0.14400000000000002,0.308,0.272,0.335,0.415,0.33,94,8.2,1998,75.6,0,6.3,20,northeast,400.0,0.0,148.0,55%,81.0,106.7,21.5
KCR,2001,6191,134,714,686,135,7.7%,15.9%,0.136,0.295,0.263,0.324,0.39899999999999997,0.319,85,7.3,1998,77.3,0,8.5,648,northeast,400.0,0.0,886.0,66%,87.0,118.5,22.9
PIT,2162,6113,107,650,613,159,6.4%,17.3%,0.121,0.294,0.254,0.311,0.374,0.304,78,5.6,1998,73.4,0,8.0,305,southeast,400.0,1.0,743.0,58%,81.0,111.8,27.3
MIN,1838,6263,115,734,691,112,8.1%,14.6%,0.12300000000000001,0.297,0.266,0.32799999999999996,0.389,0.317,83,-4.5,1998,71.3,1,0.0,1016,east,408.0,1.0,840.0,59%,80.0,107.5,34.3
CLE,1859,6554,209,1009,960,147,11.3%,16.8%,0.177,0.32299999999999995,0.289,0.373,0.467,0.36700000000000005,112,34.4,1999,69.9,0,10.3,373,north,410.0,0.0,653.0,61%,81.0,105.4,21.9
CIN,2274,6378,209,865,820,164,8.9%,17.6%,0.179,0.304,0.272,0.341,0.451,0.344,96,30.8,1999,74.3,0,7.6,474,east,404.0,1.0,683.0,57%,84.0,110.4,23.3
NYM,2323,6454,181,853,814,150,11.1%,15.4%,0.156,0.308,0.27899999999999997,0.363,0.434,0.35,105,29.7,1999,72.8,0,12.0,14,east northeast,410.0,0.0,13.0,63%,83.0,111.3,21.9
BAL,1958,6409,203,851,804,107,9.6%,13.9%,0.16899999999999998,0.298,0.27899999999999997,0.353,0.447,0.35,107,28.9,1999,75.3,0,4.2,59,northeast,410.0,0.0,130.0,75%,87.0,108.1,23.6
HOU,2043,6403,168,823,784,166,11.4%,17.8%,0.154,0.306,0.267,0.355,0.42,0.341,101,27.4,1999,74.0,1,0.0,47,north northwest,406.0,1.0,38.0,75%,90.0,109.8,26.9
ARI,2100,6415,216,908,865,137,9.2%,16.3%,0.182,0.303,0.27699999999999997,0.34700000000000003,0.45899999999999996,0.348,98,27.3,1999,81.1,2,8.1,372,north,413.0,0.0,1082.0,37%,102.0,114.2,25.5
TEX,1807,6389,230,945,897,111,9.6%,14.7%,0.18600000000000003,0.313,0.293,0.361,0.479,0.363,109,26.3,1999,84.3,0,9.3,247,east southeast,407.0,0.0,616.0,64%,92.0,112.6,18.9
NYY,1891,6416,193,900,855,104,11.2%,15.2%,0.171,0.309,0.282,0.366,0.45299999999999996,0.358,111,25.9,1999,73.7,0,9.4,20,east,408.0,0.0,54.0,63%,83.0,128.9,21.0
PHI,2206,6386,161,841,797,125,9.9%,16.9%,0.156,0.313,0.275,0.35100000000000003,0.431,0.34299999999999997,96,24.2,1999,75.5,0,9.6,57,east northeast,408.0,1.0,9.0,55%,87.0,109.0,27.8
BOS,1862,6321,176,836,808,67,9.4%,14.7%,0.17,0.303,0.278,0.35,0.44799999999999995,0.349,102,24.2,1999,69.4,0,10.9,5,northeast,420.0,0.0,20.0,57%,80.0,105.5,18.1
ATL,2204,6351,197,840,791,148,9.6%,15.1%,0.17,0.28800000000000003,0.266,0.341,0.436,0.33799999999999997,95,23.8,1999,80.2,0,7.9,267,north northeast,401.0,0.0,1001.0,55%,88.0,112.1,23.1
TOR,1862,6370,212,883,856,119,9.1%,16.9%,0.177,0.311,0.28,0.35200000000000004,0.457,0.353,104,23.7,1999,70.0,2,9.6,339,north,400.0,1.0,282.0,61%,77.0,109.5,29.0
SFG,2107,6449,188,872,828,109,10.8%,15.9%,0.163,0.301,0.271,0.35600000000000004,0.434,0.34700000000000003,104,22.4,1999,64.3,0,11.8,1,north northeast,415.0,0.0,415.0,68%,67.0,106.1,34.1
LAD,2104,6338,187,793,761,167,9.4%,16.3%,0.154,0.294,0.266,0.33899999999999997,0.42,0.33399999999999996,97,22.1,1999,74.2,0,6.0,16,north northeast,395.0,0.0,522.0,52%,81.0,111.1,19.3
OAK,1928,6442,235,893,845,70,12.0%,17.5%,0.187,0.285,0.259,0.355,0.446,0.35100000000000003,106,19.7,1999,65.6,0,11.1,1,east northeast,400.0,0.0,-21.0,75%,72.0,108.7,40.7
KCR,1865,6325,151,856,800,127,8.5%,14.7%,0.151,0.312,0.282,0.348,0.433,0.342,94,19.0,1999,77.3,0,8.5,648,northeast,400.0,0.0,886.0,66%,87.0,118.5,22.9
SEA,1915,6310,244,859,825,130,9.7%,17.4%,0.18600000000000003,0.293,0.26899999999999996,0.34299999999999997,0.455,0.34600000000000003,105,18.3,1999,67.2,2,2.5,1,northeast,405.0,0.0,14.0,73%,70.0,106.1,24.3
MIL,2281,6433,165,815,777,81,10.2%,16.6%,0.153,0.309,0.273,0.353,0.426,0.342,97,18.0,1999,73.6,0,10.1,732,southeast,402.0,0.0,593.0,72%,75.0,111.4,29.5
SDP,2305,6136,153,710,671,174,10.3%,19.1%,0.141,0.294,0.252,0.332,0.39299999999999996,0.322,90,17.6,1999,71.5,0,8.5,2,north,411.0,0.0,16.0,76%,74.0,106.9,28.9
STL,2275,6354,194,809,763,134,9.6%,18.9%,0.163,0.3,0.262,0.33799999999999997,0.426,0.33399999999999996,92,17.2,1999,78.5,0,7.1,689,south southeast,400.0,0.0,436.0,56%,88.0,112.1,22.7
DET,1902,6096,212,747,704,108,7.5%,17.2%,0.18100000000000002,0.287,0.261,0.326,0.44299999999999995,0.33399999999999996,92,15.5,1999,70.2,0,9.7,454,north northeast,402.0,0.0,577.0,59%,80.0,108.5,32.4
PIT,2250,6234,171,775,735,112,9.2%,19.2%,0.16,0.301,0.259,0.33399999999999996,0.419,0.33,88,14.0,1999,73.4,0,8.0,305,southeast,400.0,1.0,743.0,58%,81.0,111.8,27.3
CHW,1904,6264,162,777,742,110,8.0%,12.9%,0.152,0.297,0.27699999999999997,0.337,0.429,0.335,94,12.2,1999,71.0,0,11.1,680,southeast,400.0,0.0,596.0,71%,82.0,105.3,25.0
MIA,2214,6216,128,691,655,92,7.7%,18.4%,0.132,0.307,0.263,0.325,0.395,0.317,84,10.8,1999,76.3,0,11.0,1,east,420.0,0.0,3.0,61%,87.0,108.9,24.0
